id;conta_receber_id;numero_parcela;valor;data_vencimento;data_pagamento;status;forma_pagamento_id;observacoes;created_at;updated_at
139b3ede-f736-4b53-8605-0514de4cef1b;4c455315-9c5b-4d72-b627-5813e1f4d31e;1;410;2026-01-18;;pendente;;;2025-12-29 20:29:44.09356+00;2025-12-29 20:29:44.09356+00
ddd99ee9-366c-48e1-8971-01a675bfbc1f;c7721444-349a-4dbc-b3b3-d9f311b8356d;1;150;2026-01-26;;pendente;;;2025-12-29 20:29:44.09356+00;2025-12-29 20:29:44.09356+00
6a5701a5-eb91-4bfa-b692-a18596f56c83;8069ee19-b6bc-4a32-a38e-a265f83b1db2;1;594.82;2026-01-17;;pendente;;;2025-12-29 20:29:44.09356+00;2025-12-29 20:29:44.09356+00
2915195c-182c-4d6b-bac3-371ab7e7820d;a6592a1d-9c49-44a4-b043-51aa20141d39;1;138;2025-12-30;2025-12-31;pago;;;2025-12-31 18:37:51.539098+00;2025-12-31 18:38:05.708678+00
fe57a35b-90b6-4a88-9dcf-14c316e9cddf;11b23315-4465-4c69-b82a-5a4f56c3625f;1;206.75;2025-12-30;;atrasado;;;2025-12-31 18:30:50.494529+00;2026-01-01 00:05:00.300256+00
917c7678-d66d-4e3f-b30e-cfd685c96465;92c22d4b-87f4-4924-bbc5-529d7fd20004;1;2460;2025-12-10;2025-12-10;pago;;;2026-01-02 15:27:08.317019+00;2026-01-02 15:27:08.317019+00
29a83808-05d9-4415-9240-aa9781307cd6;2858b4f6-db3e-4cf3-9fb7-ae444ce1c243;1;1500;2025-12-15;2025-12-15;pago;;;2026-01-02 15:36:28.216531+00;2026-01-02 15:36:28.216531+00
72c58d51-771a-4653-8ccc-25ecd3894b3b;2858b4f6-db3e-4cf3-9fb7-ae444ce1c243;2;1000;2025-12-09;2025-12-09;pago;;;2026-01-02 15:36:28.734735+00;2026-01-02 15:36:28.734735+00
21312466-9fca-41c3-8401-378232d06d48;fb3a1bbb-49bc-4aa9-8b19-2d41b3d43ce0;1;2176;2025-12-12;2025-12-12;pago;;;2026-01-02 15:36:46.76946+00;2026-01-02 15:36:46.76946+00
31aca65a-812f-42e6-b4e6-e88d8147e1e1;792b38aa-4503-4724-aa40-984b0554dde1;1;400;2025-12-04;2025-12-04;pago;;;2026-01-02 15:37:00.725007+00;2026-01-02 15:37:00.725007+00
c8af2b8e-b679-4790-921e-2aa1f675e687;792b38aa-4503-4724-aa40-984b0554dde1;2;600;2025-11-19;2025-11-19;pago;;;2026-01-02 15:37:01.244688+00;2026-01-02 15:37:01.244688+00
dab70f89-75d6-456b-a16f-6e89595f567a;748d16ef-273c-45a2-8217-157b54e867c6;1;725;2025-12-22;2025-12-22;pago;;;2026-01-02 15:38:12.451568+00;2026-01-02 15:38:12.451568+00
620e77f0-a522-469d-91f5-c71e2fde72d9;748d16ef-273c-45a2-8217-157b54e867c6;2;725;2025-12-09;2025-12-09;pago;;;2026-01-02 15:38:12.993471+00;2026-01-02 15:38:12.993471+00
f931e4af-0cc6-4231-8faa-cfb24aecb408;34bc9268-a8af-4644-9e3b-c51495a28154;1;600;2025-12-15;2025-12-15;pago;;;2026-01-02 15:38:56.034251+00;2026-01-02 15:38:56.034251+00
fa04032c-31a9-42cd-935f-37b4783cb396;34bc9268-a8af-4644-9e3b-c51495a28154;2;600;2025-12-01;2025-12-01;pago;;;2026-01-02 15:38:56.545185+00;2026-01-02 15:38:56.545185+00
11d46224-e801-4a55-8bcf-e1fd6eff4dbc;c442d59f-035b-4379-b367-67899733f9d8;1;300;2025-12-10;2025-12-10;pago;;;2026-01-02 15:39:05.6599+00;2026-01-02 15:39:05.6599+00
defc0404-4150-4db5-bc31-2b2e8bd22e2e;c442d59f-035b-4379-b367-67899733f9d8;2;350;2025-12-04;2025-12-04;pago;;;2026-01-02 15:39:06.166999+00;2026-01-02 15:39:06.166999+00
9d0f3158-39cc-42b9-9251-9d17e058d906;8638ef26-aac4-4421-bfb1-a62881fcb542;1;3675;2025-12-10;2025-12-10;pago;;;2026-01-03 00:43:57.697871+00;2026-01-03 00:43:57.697871+00
3047ee19-0da3-40d7-84ca-7843de4534d5;8638ef26-aac4-4421-bfb1-a62881fcb542;2;3675;2025-11-25;2025-11-25;pago;;;2026-01-03 00:44:01.078627+00;2026-01-03 00:44:01.078627+00
71c17b34-7550-4d8f-b415-247db7bd78b5;19907872-4d8e-4f2f-8b7c-82e6630a4a60;1;160;2026-01-13;2026-01-02;pago;;;2026-01-05 22:43:02.257906+00;2026-01-06 11:59:36.161554+00
0de2b252-c7dd-45e5-83b6-d91198cd9458;ea90ecbf-3363-467a-916a-d22b199117db;1;2900;2026-02-05;;pendente;;;2026-01-06 13:13:48.467802+00;2026-01-06 13:13:48.467802+00
8e5c0165-cb72-4b75-8974-15b3d9a046e7;ea90ecbf-3363-467a-916a-d22b199117db;2;1450;2026-01-06;2026-01-06;pago;;;2026-01-06 13:33:20.345144+00;2026-01-06 13:33:20.345144+00
c8532f4f-0963-4fc3-85f2-ab2d07abab56;90ec69b2-754e-477a-a99b-6cba6b3de6ab;1;350;2026-01-06;2026-01-09;pago;0ffcb307-71de-433a-bba9-8170fe332011;;2026-01-05 22:40:30.390848+00;2026-01-09 17:54:04.019329+00
c7524cb1-cc59-4178-9a70-eb7469b7f0e4;27127075-e65c-435a-b49c-4e97da12a630;2;1700;2026-02-09;;pendente;;;2026-01-12 02:43:29.977948+00;2026-01-12 02:43:29.977948+00
c42cbe1c-db15-42f6-aab2-7a009ffa31f8;27127075-e65c-435a-b49c-4e97da12a630;1;1700;2026-01-09;2026-01-09;pago;0ffcb307-71de-433a-bba9-8170fe332011;;2026-01-12 02:43:29.977948+00;2026-01-12 02:43:49.259899+00
acb5d40f-c8ac-4958-8224-2e84498c275e;8428cbb7-9c3a-4bef-aac1-c584e356523e;1;2000;2026-01-12;2026-01-12;pago;0ffcb307-71de-433a-bba9-8170fe332011;;2026-01-11 20:08:50.854035+00;2026-01-12 21:55:23.764755+00
b4b5ef98-b1a2-4e92-9803-2fc8a3022e22;23ec48c6-4705-4bf1-a0c8-17ec276a14b3;2;2400;2026-02-13;;pendente;;;2026-01-13 17:30:49.891424+00;2026-01-13 17:30:49.891424+00
